,Date,Close,Open,High,Low,Volume,Returns
187,2014-10-06,2449.71,2386.5,2451.5,2384.0,496270.0,-1.77
188,2014-10-07,2418.56,2443.5,2444.0,2405.5,393500.0,-1.27
189,2014-10-08,2399.25,2411.5,2447.5,2388.5,507530.0,-0.8
190,2014-10-09,2405.17,2377.5,2418.5,2374.0,338320.0,0.25
191,2014-10-10,2420.43,2432.0,2443.5,2415.0,311480.0,0.63
192,2014-10-13,2397.59,2405.0,2411.5,2392.5,227850.0,-0.94
193,2014-10-14,2415.31,2413.5,2418.5,2401.5,273500.0,0.74
194,2014-10-15,2447.36,2418.5,2474.5,2418.0,506120.0,1.33
195,2014-10-16,2476.61,2510.0,2517.0,2466.5,428200.0,1.2
196,2014-10-17,2450.28,2459.0,2473.0,2433.5,293590.0,-1.06
197,2014-10-20,2467.78,2454.0,2477.0,2450.0,212390.0,0.71
198,2014-10-21,2481.18,2503.0,2512.0,2471.0,325960.0,0.54
199,2014-10-22,2497.51,2494.0,2500.0,2473.0,269440.0,0.66
200,2014-10-23,2518.42,2509.5,2525.0,2493.0,415700.0,0.84
201,2014-10-24,2468.69,2495.0,2509.5,2453.0,368880.0,-1.97
202,2014-10-27,2525.34,2565.0,2565.0,2516.5,456950.0,2.29
203,2014-10-28,2483.74,2515.0,2515.0,2463.5,410710.0,-1.65
204,2014-10-29,2449.16,2467.0,2475.0,2427.0,515280.0,-1.39
205,2014-10-30,2406.0,2425.0,2436.5,2394.0,473090.0,-1.76
206,2014-10-31,2444.2,2404.0,2450.0,2398.5,20310.0,1.59
207,2014-11-03,2519.74,2492.0,2528.0,2472.0,315600.0,3.09
208,2014-11-04,2527.7,2521.0,2552.0,2511.5,334400.0,0.32
209,2014-11-05,2531.7,2540.5,2546.0,2524.0,258360.0,0.16
210,2014-11-06,2566.71,2526.5,2591.0,2523.5,400980.0,1.38
211,2014-11-07,2584.94,2585.0,2604.5,2564.5,332310.0,0.71
212,2014-11-10,2562.05,2563.0,2571.0,2546.0,246940.0,-0.89
213,2014-11-11,2578.47,2574.0,2585.0,2567.0,219730.0,0.64
214,2014-11-12,2572.07,2574.0,2582.0,2547.5,291160.0,-0.25
215,2014-11-13,2606.5,2582.0,2623.0,2572.5,324930.0,1.34
216,2014-11-14,2611.15,2612.5,2639.5,2603.0,315320.0,0.18
217,2014-11-17,2613.3,2625.0,2628.5,2590.0,274240.0,0.08
218,2014-11-18,2599.7,2611.0,2616.0,2590.5,261780.0,-0.52
219,2014-11-19,2587.16,2596.5,2606.5,2573.0,320860.0,-0.48
220,2014-11-21,2520.41,2564.0,2569.0,2514.5,334990.0,-2.58
